black gold	total:0	splice_keyword: black gold	2015-03-08 07:56:16
gold	total:2374	splice_keyword: gold	2015-03-08 07:56:28
gold	total:2374	splice_keyword: gold	2015-03-08 07:56:38
gold	total:2374	splice_keyword: gold	2015-03-08 07:56:45
gold	total:2374	splice_keyword: gold	2015-03-08 07:59:06
Trumpet/Mermaid High Neck Sweep/Brush Train Velvet Evening Dress	total:0	splice_keyword: trumpet mermaid high neck sweep brush train velvet evening dress	2015-03-08 13:35:11
hot pink maxi dress	total:0	splice_keyword: hot pink maxi dress	2015-03-09 02:39:18
hot pink	total:30	splice_keyword: hot pink	2015-03-09 02:39:25
prom dresses	total:5978	splice_keyword: prom dresses	2015-03-09 02:51:57
prom dresses	total:5534	splice_keyword: prom dresses	2015-03-09 02:52:04
prom dresses	total:5509	splice_keyword: prom dresses	2015-03-09 02:52:19
prom dresses	total:7642	splice_keyword: prom dresses	2015-03-09 02:52:28
prom dresses	total:4210	splice_keyword: prom dresses	2015-03-09 02:52:34
prom dresses	total:4322	splice_keyword: prom dresses	2015-03-09 02:52:40
prom dresses	total:7473	splice_keyword: prom dresses	2015-03-09 02:52:47
prom dresses	total:6485	splice_keyword: prom dresses	2015-03-09 02:52:52
prom dresses	total:7642	splice_keyword: prom dresses	2015-03-09 02:52:58
prom dresses	total:4210	splice_keyword: prom dresses	2015-03-09 02:53:05
prom dresses	total:3551	splice_keyword: prom dresses	2015-03-09 02:53:13
prom dresses	total:3904	splice_keyword: prom dresses	2015-03-09 02:53:18
Prom Dress	total:3881	splice_keyword: prom dress	2015-03-09 05:56:00
shoes	total:0	splice_keyword: shoes	2015-03-09 07:12:23
	total:17392	2015-03-09 09:38:59
TPQ002637	total:1	splice_keyword: tpq002637	2015-03-09 10:12:20
Pink prom dresses	total:1128	splice_keyword: pink prom dresses	2015-03-09 10:30:53
Pink prom dresses	total:1128	splice_keyword: pink prom dresses	2015-03-09 10:30:55
Pink prom dresses	total:1128	splice_keyword: pink prom dresses	2015-03-09 10:31:09
Pink prom dresses	total:1128	splice_keyword: pink prom dresses	2015-03-09 10:31:20
Pink prom dresses	total:1128	splice_keyword: pink prom dresses	2015-03-09 10:32:03
Pink prom dresses	total:1128	splice_keyword: pink prom dresses	2015-03-09 10:32:13
Trumpet mermaid yellow gold sweep brush train rhinestone straps chiffon sleepless prom dresses	total:0	splice_keyword: trumpet mermaid yellow gold sweep brush train rhinestone straps chiffon sleepless prom dresses	2015-03-09 10:56:20
ILLUSION	total:257	splice_keyword: illusion	2015-03-09 12:04:20
ILLUSION	total:257	splice_keyword: illusion	2015-03-09 12:05:34
silver wedding dress	total:0	splice_keyword: silver wedding dress	2015-03-09 21:23:57
silver dress	total:1467	splice_keyword: silver dress	2015-03-09 21:24:07
silver dress	total:1502	splice_keyword: silver dress	2015-03-09 21:24:21
silver dress	total:1502	splice_keyword: silver dress	2015-03-09 21:24:30
silver dress	total:1502	splice_keyword: silver dress	2015-03-09 21:25:14
silver dress	total:1502	splice_keyword: silver dress	2015-03-09 21:25:45
silver dress	total:1502	splice_keyword: silver dress	2015-03-09 21:26:02
silver dress	total:1502	splice_keyword: silver dress	2015-03-09 21:26:16
silver dress	total:1502	splice_keyword: silver dress	2015-03-09 21:26:28
short prom dresses	total:0	splice_keyword: short prom dresses	2015-03-09 22:38:41
short dresses	total:3127	splice_keyword: short dresses	2015-03-09 22:38:49
short dresses	total:1120	splice_keyword: short dresses	2015-03-09 22:39:08
short dresses	total:3480	splice_keyword: short dresses	2015-03-09 22:39:15
short dresses	total:3127	splice_keyword: short dresses	2015-03-09 22:39:21
short dresses	total:3480	splice_keyword: short dresses	2015-03-09 22:39:31
Lace dress	total:1782	splice_keyword: lace dress	2015-03-10 00:27:46
Lace dress	total:1782	splice_keyword: lace dress	2015-03-10 00:28:24
Lace dress	total:1782	splice_keyword: lace dress	2015-03-10 00:28:49
Lace dress	total:1782	splice_keyword: lace dress	2015-03-10 00:29:27
